phase_name,phase,step,location,Task,Note,FALSE
Project Structure and Routing,2,9,app.vue,clear up template,,TRUE
Project Structure and Routing,2,9,app.vue,add <h1>Welcome</h1>,,TRUE
Project Structure and Routing,2,9,app.vue,delete <style>,,TRUE
Project Structure and Routing,2,9,main.ts,delete import main.css,,TRUE
Project Structure and Routing,2,9,Terminal,npm run dev,,TRUE
Project Structure and Routing,2,9,Terminal,check console for any errors,,TRUE
Project Structure and Routing,2,9,Terminal,git add -A,,TRUE
Project Structure and Routing,2,9,Terminal,clear terminal,,TRUE
Project Structure and Routing,2,9,Terminal,"git checkout -b ""chapter-2-lesson-9""",skryf ander naam,TRUE
Project Structure and Routing,2,9,Terminal,"git commit -m ""boilerplate cleanup""",,TRUE
Project Structure and Routing,2,9,Terminal,clear terminal,,TRUE
Project Structure and Routing,2,9,Terminal,git push origin chapter-2-lesson-9,,TRUE
Setting Up Vue Router and Navigation with Router Link,2,10,src/views,create HomeView.vue and add ,"<script setup lang=""ts"">
</script>
<template>
  <div>
    <h1>Home Page</h1>
<a href=""/projects"">Go to projects</a> after h1
  </div>
</template>",
Setting Up Vue Router and Navigation with Router Link,2,10,views,create projects.vue,"<script setup lang=""ts""></script>
<template>
  <div>
    <h1>Posts Page</h1>
    <a href=""/"">Go to home</a>
  </div>
</template>
",
Setting Up Vue Router and Navigation with Router Link,2,10,router/index.ts,create first routes,"routes: [
    {
      path: '/',
      name: 'home',
      component: HomeView,
    },
    {
      path: '/posts',
      name: 'posts',
      component: PostsView,
    },
  ],",
Setting Up Vue Router and Navigation with Router Link,2,10,app.vue,add RouterView,"<template>
  <main>
    <RouterView />
  </main>
</template>",
Setting Up Vue Router and Navigation with Router Link,2,10,HomeView.vue,change a to RouterLink for faster page loads,"<RouterLink to=""/posts"">Go to posts</RouterLink>",
Setting Up Vue Router and Navigation with Router Link,2,10,PostsView.vue,change a to RouterLink for faster page loads and href >to,"<RouterLink to=""/posts"">Go to posts</RouterLink>",
Project Structure and Routing,2,11,router/index.ts,change project route to lazy loading,component: () => import('@/views/ProjectsView.vue'),TRUE
Project Structure and Routing,2,11,router/index.ts,delete import at top of file,,TRUE
Project Structure and Routing,2,11,,inspect>ntewrok to see if only project file is loaded.,,TRUE
Project Structure and Routing,2,12,views,create SingleProjectView.vue,,TRUE
Project Structure and Routing,2,12,router/index.ts,add new route with wildcard :id,"{
      path: '/posts/:id',
      name: 'single-post',
      component: () => import('@/views/SinglePostView.vue'),
    },",TRUE
Project Structure and Routing,2,12,views/SingleProjectView,"Inside SingleProject view add
",import {useRoute} from 'vue-router';,TRUE
Project Structure and Routing,2,12,views/SingleProjectView,Add,const route = useRoute();,TRUE
Project Structure and Routing,2,12,views/SingleProjectView,change heading to use ,<h1>Projects {{ route.params.id }}</h1> ,TRUE
Project Structure and Routing,2,12,views/SingleProjectView,"now add ? after params so that undefiend is called when there is no param and not error
<h1>Projects {{ route.params?.id }}</h1>",,TRUE
Project Structure and Routing,2,13,router/index.ts,add path for undefiend pages,"{
      path: '/:catchAll(.*)*',
      name: 'not-found',
      component: h('p',{style: 'color: red;'}, '404 - Not Found')
    }",TRUE
Project Structure and Routing,2,14,Terminal,npm install -D unplugin-vue-router,to help routing,TRUE
Project Structure and Routing,2,14,vite.config.ts,add,import VueRouter from 'unplugin-vue-router/vite',TRUE
Project Structure and Routing,2,14,vite.config.ts,"add VueRouter(), before vue()",,TRUE
Project Structure and Routing,2,14,router/index.ts,change from 'vue-router' to 'vue-router/auto',"import { createRouter, createWebHistory } from 'vue-router/auto'",TRUE
Project Structure and Routing,2,14,router/index.ts,Now delete all paths and imports to only have ,"import { createRouter, createWebHistory } from 'vue-router/auto'

const router = createRouter({
  history: createWebHistory(import.meta.env.BASE_URL)
})

export default router",TRUE
Project Structure and Routing,2,14,src,rename views to pages,,TRUE
Project Structure and Routing,2,14,router/index.ts,add ,import {routes} from 'vue-router/auto-routes',TRUE
Project Structure and Routing,2,14,router/index.ts,now add routes to,"const router = createRouter({
  history: createWebHistory(import.meta.env.BASE_URL),
  routes
})",TRUE
Project Structure and Routing,2,14,tsconfig.app.json,"add under ""include""","""typed-router.d.ts""",TRUE
Project Structure and Routing,2,14,tsconfig.app.json,"also add ""moduleResolution"": ""Bundler"", so that it looks like this
","{
  ""extends"": ""@vue/tsconfig/tsconfig.dom.json"",
  ""include"": [""env.d.ts"", ""src/**/*"", ""src/**/*.vue"", ""typed-router.d.ts""],
  ""exclude"": [""src/**/__tests__/*""],
  ""compilerOptions"": {
    ""tsBuildInfoFile"": ""./node_modules/.tmp/tsconfig.app.tsbuildinfo"",
    ""moduleResolution"": ""Bundler"",
    ""paths"": {
      ""@/*"": [""./src/*""]
    }
  }
}",TRUE
Project Structure and Routing,2,14,env.d.ts,add,"/// <reference types=""unplugin-vue-router/client"" />",TRUE
Project Structure and Routing,2,14,,comand + shift +P then relaod window to check all is sync,,TRUE
Project Structure and Routing,2,14,,inspect console,,TRUE
Project Structure and Routing,2,15,pages,change HomeView.vue to index.vue,,TRUE
Project Structure and Routing,2,15,pages/projects,under pages create new folder called Projects. ,,TRUE
Project Structure and Routing,2,15,pages/projects,move ProjectsView.vue under projects and rename to index.vue,,TRUE
Project Structure and Routing,2,15,pages/projects,move SingleProjectView.vue to projects folder and rename [id].vue,,TRUE
Project Structure and Routing,2,15,pages,create [...catchAll].vue and add,"<script setup lang=""ts""></script>

<template>
  <div>
    <h1>404 Not Found</h1>
  </div>
</template>",TRUE
Project Structure and Routing,2,15,pages/projects,change link to ,"<RouterLink :to=""{ name: '/projects/[id]', params: { id: 1 } }"">Go To Projects</RouterLink>",TRUE
Bootstrap the App Backend with Supabase,3,17,supbase,sign up/in to supabase,,TRUE
Bootstrap the App Backend with Supabase,3,17,supbase,create organization,,TRUE
Bootstrap the App Backend with Supabase,3,17,supbase,create new project,,TRUE
Bootstrap the App Backend with Supabase,3,17,supbase,go to js docs and copy ,npm install @supabase/supabase-js@2.43.4,TRUE
Bootstrap the App Backend with Supabase,3,17,supbase,copy code from initialising,"import { createClient } from '@supabase/supabase-js'

// Create a single supabase client for interacting with your database
const supabase = createClient('https://xyzcompany.supabase.co', 'publishable-or-anon-key')",TRUE
Bootstrap the App Backend with Supabase,3,17,src,craet new folder lib,,TRUE
Bootstrap the App Backend with Supabase,3,17,src/lib,icraete new file supbaseClient.ts,,TRUE
Bootstrap the App Backend with Supabase,3,17,supabaseClient.ts,paste code from initialising here,,TRUE
Bootstrap the App Backend with Supabase,3,17,supabaseClient.ts,now replace with own url,,TRUE
Bootstrap the App Backend with Supabase,3,17,supabaseClient.ts,and replace anon key,,TRUE
Bootstrap the App Backend with Supabase,3,17,app.vue,in app.vue add ,import { supabase } from '@/lib/supabaseClient',TRUE
Bootstrap the App Backend with Supabase,3,17,app.vue,add ,console.log(supabase),TRUE
Bootstrap the App Backend with Supabase,3,17,Terminal,run dev,,TRUE
Bootstrap the App Backend with Supabase,3,17,Console,inspect console,,TRUE
Bootstrap the App Backend with Supabase,3,17,supabaseClient.ts ,add export in front off const,,TRUE
,3,18,supabaseClient.ts ,change  craete client to,"export const supabase = createClient(
  import.meta.env.VITE_SUPBASE_URL,
  import.meta.env.VITE_SUPABASE_KEY",TRUE
,3,18,route,create new file.env and add ,"VITE_SUPABASE_URL=
VITE_SUPABASE_KEY=",TRUE
,3,18,gitignore,add .env below tsbuildinfo,,TRUE
,3,19,,in supbase add projects new table and uncheck RLS,,FALSE
,3,19,,"add new column name: Text, is not nullable",,FALSE
,3,19,,"add new column slug: text , is not nullable",,FALSE
,3,19,,"add new column status: text, in-progress, is not nullable",,FALSE
,3,19,,"add new column collaborators: text, [] , is not nullable",,FALSE
,3,19,,add new row with firts project and firts-project,,FALSE
,3,20,supbase/sql editor,run,"DROP table IF EXISTS projects;
DROP type IF EXISTS current_status; 

CREATE type current_status as enum ('in-progress', 'completed');

CREATE TABLE 
  projects (
    id bigint primary key generated always as identity not null,
    created_at timestamp default now() not null,
    name text not null,
    slug text unique not null,
    status current_status not null,
    collaborators text array default array[]::varchar[] not null
  );",TRUE
,3,21,Terminal,npm install supabase --save-dev,,TRUE
,3,21,package.json,under scripts add ,"""supabase:init"": ""supabase init""",TRUE
,3,21,Terminal,npm run supabase:init,,TRUE
,3,21,package.json,under scripts add ,"""supabase:login"": ""supabase login""",TRUE
,3,21,Terminal,npm run supabase:login,,TRUE
,3,21,package.json,add this under scripts and replace project ref,"""supabase:link"": ""supabase link --project-ref YOUR_PROJECT_REF"",",TRUE
,3,21,Terminal,npm run supabase:link,,TRUE
,3,22,package.json,add under scripts ,"""db:migrate:new"": ""supabase migration new projects-schema""",TRUE
,3,22,Terminal,npm run db:migrate:new,,TRUE
,3,22,supbase/sql editor,copy script for projects schema,,TRUE
,3,22,???,remove insert data ,,TRUE
,3,22,package.json,in package.json add under scripts,"""db:reset"": ""supabase db reset --linked""",TRUE
,3,22,Terminal,npm run db:reset,,TRUE
,3,23,Terminal,npm install @faker-js/faker --save-dev,,TRUE
,3,23,route,new folder called database ,,TRUE
,3,23,route/database,craete new file seed.js,,TRUE
,3,23,seed.js,add ,import {faker} from '@faker-js/faker';,TRUE
,3,23,seed.js,add,const personName = faker.person.fullName();,TRUE
,3,23,seed.js,add ,const personBio = faker.person.bio();,TRUE
,3,23,seed.js,add ,"console.log('Hi my name is ', personName, '. I am a ', personBio);",TRUE
,3,23,Terminal,node database/seed.js,,TRUE
Set Up Supabase JavaScript Client in Node Environment,3,24,seed.js,clean out all fake data,,TRUE
Set Up Supabase JavaScript Client in Node Environment,3,24,lib/supabaseClient.ts,copy  const into seed.js,"export const supabase = createClient(
  import.meta.env.VITE_SUPABASE_URL,
  import.meta.env.VITE_SUPABASE_KEY
)",TRUE
Set Up Supabase JavaScript Client in Node Environment,3,24,seed.js,change to,"const supabase = createClient(
  process.env.VITE_SUPABASE_URL,
  process.env.VITE_SUPABASE_KEY
)",TRUE
Set Up Supabase JavaScript Client in Node Environment,3,24,supbase,copy service role key and ref as SERVICE_ROLE_KEY,"This key has the ability to bypass Row Level Security. Never share it publicly. If leaked, generate a new JWT secret immediately. Prefer using Secret API keys instead.",TRUE
Set Up Supabase JavaScript Client in Node Environment,3,24,.eslint.cjs,/* eslint-env node */ ,to tell eslint wher its run,TRUE
Set Up Supabase JavaScript Client in Node Environment,3,24,.env,add SUPABASE_SERVICE_ROLE_KEY ,,TRUE
Set Up Supabase JavaScript Client in Node Environment,3,24,Terminal,node --env-file=.env database/seed.js,,TRUE
Set Up Supabase JavaScript Client in Node Environment,3,24,package.json,add to script,"""db:seed"": ""node --env-file=.env database/seed.js""",TRUE
Set Up Supabase JavaScript Client in Node Environment,3,24,,npm run db:seed,,TRUE
Seeding the Supabase Remote Database with Fakerjs,3,25,,remove console.log from seed.js,,TRUE
Seeding the Supabase Remote Database with Fakerjs,3,25,,Go to javscript docs and look for insert data on left,,TRUE
Seeding the Supabase Remote Database with Fakerjs,3,25,seed.js,add this ,"const seedProjects = async () => {

  const name = faker.lorem.words(3)

  await supabase.from('projects').insert({
    name: name,
    slug: name.toLocaleLowerCase().replace(/ /g, '-'),
    status: faker.helpers.arrayElement(['in-progress', 'completed']),
    collaborators: faker.helpers.arrayElements([1,2,3])
})
}
await seedProjects()",TRUE
Seeding the Supabase Remote Database with Fakerjs,3,25,Terminal,npm run db:reset,,TRUE
Seeding the Supabase Remote Database with Fakerjs,3,25,Supabase,check table editor,,TRUE
Seeding the Supabase Remote Database with Fakerjs,3,25,Terminal,npm run db:seed,,TRUE
Seeding the Supabase Remote Database with Fakerjs,3,25,Supabase,check table editor,,TRUE
Insert Bulk Entries Into Supabase Database,3,26,seed.js,"change seed.js to 
const seedProjects = async (numEntries) => {
  const projects = []

  for (let i = 0; i < numEntries; i++) {
  const name = faker.lorem.words(3)

    projects.push({
      name: name,
      slug: name.toLocaleLowerCase().replace(/ /g, '-'),
      status: faker.helpers.arrayElement(['in-progress', 'completed']),
      collaborators: faker.helpers.arrayElements([1, 2, 3])
    })
  }

  await supabase.from('projects').insert(projects)
}

await seedProjects(10)","/* eslint-env node */

import { fakerEN_US as faker } from '@faker-js/faker'
import { createClient } from '@supabase/supabase-js'

// Create a single supabase client for interacting with your database
const supabase = createClient(process.env.VITE_SUPABASE_URL, process.env.SUPABASE_SERVICE_ROLE_KEY)

const seedTeams = async (numEntries) => {
  const teams = []

  for (let i = 0; i < numEntries; i++) {
    const name = faker.lorem.words(3)

    teams.push({
      name: name,
      slug: name.toLocaleLowerCase().replace(/ /g, '-'),
      province: faker.helpers.arrayElement([
        'Eastern Cape',
        'Free State',
        'Gauteng',
        'KwaZulu-Natal',
        'Limpopo',
        'Mpumalanga',
        'Northern Cape',
        'North West',
        'Western Cape',
      ]),
      team_managers: faker.helpers.arrayElements([1, 2, 3]),
    })
  }

  await supabase.from('teams').insert(teams)
}

await seedTeams(10)
",TRUE
Insert Bulk Entries Into Supabase Database,3,26,Terminal,npm run db:seed,,TRUE
Query Supabase from Vue.js Script Setup,3,27,Github,"copy code from github
/* eslint-env node */

import { fakerEN_US as faker } from '@faker-js/faker'
import { createClient } from '@supabase/supabase-js'

const supabase = createClient(process.env.VITE_SUPABASE_URL, process.env.SERVICE_ROLE_KEY)

const logErrorAndExit = (tableName, error) => {
  console.error(
    `An error occurred in table '${tableName}' with code ${error.code}: ${error.message}`
  )
  process.exit(1)
}

const logStep = (stepMessage) => {
  console.log(stepMessage)
}

const seedProjects = async (numEntries) => {
  logStep('Seeding projects...')
  const projects = []

  for (let i = 0; i < numEntries; i++) {
    const name = faker.lorem.words(3)

    projects.push({
      name: name,
      slug: name.toLocaleLowerCase().replace(/ /g, '-'),
      status: faker.helpers.arrayElement(['in-progress', 'completed']),
      collaborators: faker.helpers.arrayElements([1, 2, 3])
    })
  }

  const { data, error } = await supabase.from('projects').insert(projects).select('id')

  if (error) return logErrorAndExit('Projects', error)

  logStep('Projects seeded successfully.')

  return data
}

const seedDatabase = async (numEntriesPerTable) => {
  await seedProjects(numEntriesPerTable)
}

const numEntriesPerTable = 10

seedDatabase(numEntriesPerTable)",,TRUE
Query Supabase from Vue.js Script Setup,3,27,Terminal,npm run db:reset,,TRUE
Query Supabase from Vue.js Script Setup,3,27,Terminal,npm run db:seed,,TRUE
Query Supabase from Vue.js Script Setup,3,27,Supabase,go to javascript client docs and go to fetch data,,TRUE
Query Supabase from Vue.js Script Setup,3,27,projects/index.vue,add,import {supabase} from '@/lib/supabaseClient',TRUE
Query Supabase from Vue.js Script Setup,3,27,projects/index.vue,add,"const getProjects = async () => {
  const { data, error} = await supabase.from('projects').select()

  if (error) console.log(error)

  console.log('projects: ', data)
}",TRUE
Query Supabase from Vue.js Script Setup,3,27,,go to vue.js docs/guide/essentials/life cycle hooks,,TRUE
Use Immediately Invoked Function Expression in Script Setup,3,28,,"add login into new function and delete old function 
;(async () => {
  const { data, error } = await supabase.from('projects').select()

  if (error) console.log(error)

  console.log('projects: ', data)
})()",";(async () => {
  const { data, error } = await supabase.from('projects').select()

  if (error) console.log(error)

  console.log('projects: ', data)
})()",TRUE
Use Immediately Invoked Function Expression in Script Setup,3,28,,npm run dev,,TRUE
Use Immediately Invoked Function Expression in Script Setup,3,28,projects/index.vue,change to,";(async () => {
  const { data, error } = await supabase.from('projects').select()

  if (error) console.log(error)

  return data
})()",TRUE
Introduction to Vue.js Reactivity System and Using Refs,3,29,projects/index.vue,add add after import above function,let projects: any ,TRUE
Introduction to Vue.js Reactivity System and Using Refs,3,29,projects/index.vue,"then after if add 
",projects = data,TRUE
Introduction to Vue.js Reactivity System and Using Refs,3,29,projects/index.vue,"after return data add
console.log('projects: ', projects)","console.log('projects: ', projects)",TRUE
Introduction to Vue.js Reactivity System and Using Refs,3,29,Terminal,npm run dev,,TRUE
Introduction to Vue.js Reactivity System and Using Refs,3,29,seed.js,make sure seed.js is ,"/* eslint-env node */

import { fakerEN_US as faker } from '@faker-js/faker'
import { createClient } from '@supabase/supabase-js'

const supabase = createClient(process.env.VITE_SUPABASE_URL, process.env.SERVICE_ROLE_KEY)

const logErrorAndExit = (tableName, error) => {
  console.error(
    `An error occurred in table '${tableName}' with code ${error.code}: ${error.message}`
  )
  process.exit(1)
}

const logStep = (stepMessage) => {
  console.log(stepMessage)
}

const seedProjects = async (numEntries) => {
  logStep('Seeding projects...')
  const projects = []

  for (let i = 0; i < numEntries; i++) {
    const name = faker.lorem.words(3)

    projects.push({
      name: name,
      slug: name.toLocaleLowerCase().replace(/ /g, '-'),
      status: faker.helpers.arrayElement(['in-progress', 'completed']),
      collaborators: faker.helpers.arrayElements([1, 2, 3])
    })
  }

  const { data, error } = await supabase.from('projects').insert(projects).select('id')

  if (error) return logErrorAndExit('Projects', error)

  logStep('Projects seeded successfully.')

  return data
}

const seedDatabase = async (numEntriesPerTable) => {
  await seedProjects(numEntriesPerTable)
}

const numEntriesPerTable = 10

seedDatabase(numEntriesPerTable)",TRUE
Introduction to Vue.js Reactivity System and Using Refs,3,29,projects/index.vue,script should look like this ,"<script setup lang=""ts"">
import { supabase } from '@/lib/supabaseClient'

let projects: any
;(async () => {
  const { data, error } = await supabase.from('projects').select()

  if (error) console.log(error)

  projects = data

  console.log('projects: ', projects)
})()
</script>",TRUE
Introduction to Vue.js Reactivity System and Using Refs,3,29,projects/index.vue,"add in template under router link
",{{ posts }},TRUE
Introduction to Vue.js Reactivity System and Using Refs,3,29,projects/index.vue,add,,TRUE
Introduction to Vue.js Reactivity System and Using Refs,3,29,projects/index.vue,change let to ,let projects: any,TRUE
Introduction to Vue.js Reactivity System and Using Refs,3,29,projects/index.vue,"add .value for refs so it look like this
",,TRUE
Introduction to Vue.js Reactivity System and Using Refs,3,29,Terminal,npm run dev and check if data is showing,,TRUE
Provide TypeScript Type Definitions for Refs in Vue.js Script Setup,3,30,projects/index.vue,update ref ,const posts = ref<any[] | null>(null),TRUE
Provide TypeScript Type Definitions for Refs in Vue.js Script Setup,3,30,projects/index.vue,change the call for posts,{{ posts ? posts[0] : '' }},TRUE
Provide TypeScript Type Definitions for Refs in Vue.js Script Setup,3,30,projects/index.vue,now make it a loop for each item. ,"<ul>
      <li v-for=""post in posts"" :key=""post.id"">
       {{ post. }}
      </li>
    </ul>",TRUE
Add TypeScript Support to Supabase in Vue.js,3,31,Supabase,got to api docs / tables,https://supabase.com/docs/guides/api/rest/generating-types,TRUE
Add TypeScript Support to Supabase in Vue.js,3,31,package.json,add script for types,"""supabase:types"": ""npx supabase gen types typescript --project-id sxzckwgvucbknxgldqkr --schema public > database/types.ts""",TRUE
Add TypeScript Support to Supabase in Vue.js,3,31,package.json,change database.types to database/types.ts,"""supabase:types"": ""npx supabase gen types typescript --project-id sxzckwgvucbknxgldqkr --schema public > database.types.ts""",TRUE
Add TypeScript Support to Supabase in Vue.js,3,31,Terminal,npm run supabase:types,,TRUE
Add TypeScript Support to Supabase in Vue.js,3,31,lib/supabaseClient.ts,add import,import type { Database } from '../../database/types',TRUE
Add TypeScript Support to Supabase in Vue.js,3,31,lib/supabaseClient.ts,update create client for this database,export const supabase = createClient<Database>(,TRUE
Add TypeScript Support to Supabase in Vue.js,3,31,tsconfig.app.json,add inside include array,"""database/types.ts""",TRUE
Add TypeScript Support to Supabase in Vue.js,3,31,posts/index.vue,add import ,import type { Tables } from '../../../database/types',TRUE
Add TypeScript Support to Supabase in Vue.js,3,31,posts/index.vue,update ref ,const posts = ref<Tables<'posts'>[] | null>(null),TRUE
Add TypeScript Support to Supabase in Vue.js,3,31,posts/index.vue,now update the li,"<li v-for=""post in posts"" :key=""post.id"">
        {{ post.subject }}",TRUE
"Create a New Page for Tasks with Database Migration, Seed and Types",3,32,package.json,remove posts-schema from db:migrate,,TRUE
"Create a New Page for Tasks with Database Migration, Seed and Types",3,32,Terminal,npm run db:migrate:new assigned_posts-schema,,TRUE
"Create a New Page for Tasks with Database Migration, Seed and Types",3,32,assigned_posts-schema,add sql,"-- Drop if rebuilding during development
drop table if exists assigned_posts;

create table
  assigned_posts (
    id bigint primary key generated always as identity not null,
    created_at timestamptz default now() not null,

    -- Foreign keys
    user_id uuid references auth.users (id) on delete cascade not null,
    post_id bigint references posts (id) on delete cascade not null,

    -- Scheduling
    scheduled_for timestamptz default null,
    sent boolean default false not null,
    sent_at timestamptz default null,

    -- Stage 3 (premium / locked posts)
    is_locked boolean default false not null
  );",TRUE
"Create a New Page for Tasks with Database Migration, Seed and Types",3,32,Terminal,npm run db:reset,,TRUE
"Create a New Page for Tasks with Database Migration, Seed and Types",3,32,seed.js,update posts and sssigned posts,"// Posts + Assigned Posts Seed Script

const logErrorAndExit = (tableName, error) => {
  console.error(
    `An error occurred in table '${tableName}' with code ${error.code}: ${error.message}`,
  )
  process.exit(1)
}

const logStep = (stepMessage) => {
  console.log(stepMessage)
}

// Posts Table
const seedPosts = async (numEntries) => {
  logStep('Seeding posts...')
  const posts = []

  for (let i = 0; i < numEntries; i++) {
    const subject = faker.lorem.sentence(5)
    const body = faker.lorem.paragraphs(2)

    posts.push({
      subject: subject,
      slug: subject
        .toLowerCase()
        .replace(/[^a-z0-9]+/g, '-') // spaces + symbols → hyphens
        .replace(/(^-|-$)/g, ''), // trim starting/ending hyphens
      body: body,
      status: faker.helpers.arrayElement(['draft', 'published']),
      is_exclusive: faker.datatype.boolean(),
    })
  }

  const { data, error } = await supabase.from('posts').insert(posts).select('id')

  if (error) return logErrorAndExit('Posts', error)

  logStep('Posts seeded successfully.')

  return data
}

// Assigned Posts Table
const seedAssignedPosts = async (numEntries, postsIds) => {
  logStep('Seeding assigned_posts...')
  const assignedPosts = []

  for (let i = 0; i < numEntries; i++) {
    const sent = faker.datatype.boolean()
    const scheduledFor = faker.date.soon({ days: 30 })

    assignedPosts.push({
      // user_id left out on purpose for now
      post_id: faker.helpers.arrayElement(postsIds),
      scheduled_for: scheduledFor,
      sent: sent,
      sent_at: sent ? faker.date.soon({ days: 5, refDate: scheduledFor }) : null,
      is_locked: faker.datatype.boolean(),
    })
  }

  const { data, error } = await supabase.from('assigned_posts').insert(assignedPosts).select('id')

  if (error) return logErrorAndExit('assigned_posts', error)

  logStep('assigned_posts seeded successfully.')

  return data
}

const seedDatabase = async (numEntriesPerTable) => {
  const postsIds = (await seedPosts(numEntriesPerTable)).map((post) => post.id)
  await seedAssignedPosts(numEntriesPerTable, postsIds)
}

const numEntriesPerTable = 10

seedDatabase(numEntriesPerTable)",TRUE
"Create a New Page for Tasks with Database Migration, Seed and Types",3,32,Terminal,npm run db:reset,,TRUE
"Create a New Page for Tasks with Database Migration, Seed and Types",3,32,Terminal,npm run db:seed,,TRUE
"Create a New Page for Tasks with Database Migration, Seed and Types",3,32,pages,craete folder assignedPosts,,TRUE
"Create a New Page for Tasks with Database Migration, Seed and Types",3,32,assignedPosts,create index.vue,,TRUE
"Create a New Page for Tasks with Database Migration, Seed and Types",3,32,assignedPosts,"copy index,vue file and [paste here","<script setup lang=""ts"">
import { supabase } from '@/lib/supabaseClient'
import { ref } from 'vue'
import type { Tables } from '../../../database/types'

const posts = ref<Tables<'posts'>[] | null>(null)
;(async () => {
  const { data, error } = await supabase.from('posts').select()

  if (error) console.log(error)

  posts.value = data

  console.log('posts: ', posts.value)
})()
</script>
<template>
  <div>
    <h1>Posts Page</h1>
    <RouterLink to=""/"">Go To Home</RouterLink>
    <ul>
      <li v-for=""post in posts"" :key=""post.id"">
        {{ post.subject }}
      </li>
    </ul>
  </div>
</template>",TRUE
Getting Started with Shadcn UI and Vue.js,4,33,shandcn for vue,go to shadcn for vue,https://www.shadcn-vue.com/,TRUE
Getting Started with Shadcn UI and Vue.js,4,33,shandcn for vue,docs/getting started/instalation/vite,,TRUE
